iata,airport,city,state,country,lat,long
Veillane,Château,924,10,Italie,45.2077778,7.484166666666667
Chinon,Château,954,10,France,47.15311538292504,0.25259060329858585
Esch-sur-Sûre,Château,927,10,Luxembourg,49.9111111,5.934722222222223
Guimaraes,Château,958,10,Portugal,41.4477778,-8.290555555555555
Penafiel,Château,950,10,Espagne,41.5966667,-4.1147222222222215
Zamora,Château,950,10,Espagne,41.4997222,-5.756111111111111
San Leo,Forteresse,950,10,Italie,43.8966667,12.346388888888889
Trencin,Château,950,11,Slovaquie,48.8941667,18.044722222222223
Skopje,Forteresse,950,10,Macédoine,42,21.434444444444445
Baba Vida,Forteresse,950,10,Bulgarie,43.9986111,22.88611111111111
Hohenzollern,Inconnu,1000,11,Allemagne,48.3230556,8.967777777777778
Marbourg,Inconnu,1000,11,Allemagne,50.8102778,8.766944444444444
Nuremberg,Inconnu,1000,11,Allemagne,49.4577778,11.067499999999999
Bled,Inconnu,1011,11,Slovénie,46.3697222,14.100555555555555
Loarre,Inconnu,1020,11,Espagne,42.3255556,-0.6119444444444444
Souzdal,Forteresse,1024,11,Russie,56.4163889,40.44027777777777
Landskorn,Inconnu,1028,11,Autriche,46.6425,13.896944444444443
Moha,Inconnu,1031,11,Belgique,50.5519444,5.181111111111111
Tarasp,Château,1040,11,Suisse,46.7788889,10.261666666666667
Novgorod,Forteresse,1044,11,Russie,58.5486111,31.275555555555556
Coudenberg,Palais,1047,11,Belgique,50.8425,4.359999999999999
Petrae Roseti,Château,1050,11,Italie,16.616666666666667,39.9813889
Esztergom,Inconnu,1050,11,Hongrie,47.7855556,18.740277777777777
Bellinzone – Castelgrande,Château,1050,11,Suisse,46.1930556,9.074166666666667